subj_idx,RC,rt,MC,LT,JP,AD,Volume,response
1,G,0.607303745016907,2,W,L,34,67,1
1,G,0.706218077551966,5,W,R,80,90,1
1,G,0.522638328482572,1,Y,R,80,90,1
1,G,0.625724607090888,1,W,L,80,90,1
1,G,0.728274557017357,2,W,L,34,67,1
1,G,0.586061223195429,2,W,L,34,67,1
1,G,0.626307507731326,2,Y,R,34,67,1
1,G,0.653128749230746,2,Y,R,34,67,1
1,G,0.619986340896503,1,Y,R,80,90,1
1,G,0.518770151760691,4,Y,L,34,67,1
1,G,0.872375407241634,1,Y,R,80,90,1
1,G,0.519638793899503,5,Y,L,80,90,1
1,G,0.788697316223988,1,W,L,80,90,1
1,G,0.504316920072597,2,Y,R,34,67,1
1,G,0.540628324824866,4,Y,L,34,67,1
1,G,0.527454770366603,4,Y,L,34,67,1
1,G,0.536230730100215,4,Y,L,34,67,1
1,G,0.563557953393683,5,W,R,80,90,1
1,G,0.664497114490587,2,W,L,34,67,1
1,G,0.552790817091591,1,W,L,80,90,1
1,G,0.529330869125261,4,W,R,34,67,1
1,G,0.503596707272663,5,Y,L,80,90,1
1,G,0.479349242514218,4,Y,L,34,67,1
1,G,0.609451162992627,2,Y,R,34,67,1
1,G,0.45329268252317,1,W,L,80,90,1
1,G,0.474767463208991,5,Y,L,80,90,1
1,G,0.552881557294313,5,W,R,80,90,1
1,G,0.519417051285927,1,W,L,80,90,1
1,G,0.469401772677884,4,W,R,34,67,1
1,G,0.50260607664859,1,W,L,80,90,1
1,G,0.503735521755516,5,Y,L,80,90,1
1,G,0.570106571663928,5,W,R,80,90,1
1,G,0.426804956337946,5,Y,L,80,90,1
1,G,0.669621832694247,2,Y,R,34,67,1
1,G,0.469866891333368,2,Y,R,34,67,1
1,G,0.470783908216617,1,Y,R,80,90,1
1,G,0.536346709299323,2,Y,R,34,67,1
1,G,0.502509327161533,4,W,R,34,67,1
1,G,0.524391537364863,4,Y,L,34,67,1
1,G,0.570141125053851,4,Y,L,34,67,1
1,G,0.586911537015112,2,Y,R,34,67,1
1,G,0.561450497163605,1,W,L,80,90,1
1,G,0.520003557498057,4,W,R,34,67,1
1,G,0.659616373259269,2,Y,R,34,67,1
1,G,0.485408104061207,2,Y,R,34,67,1
2,G,0.595883399440453,2,W,L,34,67,1
2,G,0.691687326087532,4,Y,L,34,67,1
2,G,0.45391374212295,5,W,R,80,90,1
2,G,0.542347881712033,5,Y,L,80,90,1
2,G,0.552008107727261,1,Y,R,80,90,1
2,G,0.669603504374606,2,Y,R,34,67,1
2,G,0.605902379766974,2,Y,R,34,67,1
2,G,0.719539159956071,1,W,L,80,90,1
2,G,0.686261242245394,2,Y,R,34,67,1
2,G,0.536808222384366,5,W,R,80,90,1
2,G,0.530512895474772,2,W,L,34,67,1
2,G,0.56936833100815,1,W,L,80,90,1
2,G,0.586514022816687,2,Y,R,34,67,1
2,G,0.578149999564289,4,W,R,34,67,1
2,G,0.78627407206875,2,Y,R,34,67,1
2,G,0.810470758368751,5,W,R,80,90,1
2,G,0.53902835270776,4,W,R,34,67,1
2,G,0.473350173352856,2,W,L,34,67,1
2,G,0.869141510547934,2,Y,R,34,67,1
2,G,0.639470846404834,4,W,R,34,67,1
2,G,0.570084337309595,5,W,R,80,90,1
2,G,0.926914475556032,4,Y,L,34,67,1
2,G,0.444077143594541,2,W,L,34,67,1
2,G,0.570972509624426,5,W,R,80,90,1
2,G,0.452118167781009,4,Y,L,34,67,1
2,G,0.636713786471546,4,Y,L,34,67,1
2,G,0.602740894956696,1,W,L,80,90,1
2,G,0.543634770083145,5,W,R,80,90,1
