subj_idx,RC,rt,MC,LT,JP,AD,Volume,response
1,B,0.528236878801181,4,Y,L,34,67,1
1,B,0.519272828447356,1,W,L,80,90,1
1,B,0.538637448720692,1,W,L,80,90,1
1,B,0.50352309353184,5,W,R,80,90,1
1,B,0.526115000287973,4,W,R,34,67,1
1,B,0.623712698490635,5,W,R,80,90,1
1,B,0.652874856941708,4,W,R,34,67,1
1,B,0.66064125680532,5,W,R,80,90,1
1,B,0.556072487601341,5,W,R,80,90,1
1,B,0.536178449321596,2,Y,R,34,67,1
1,B,0.519372883041797,1,Y,R,80,90,1
1,B,0.644831729505313,2,Y,R,34,67,1
1,B,0.558588274741851,4,W,R,34,67,1
1,B,0.464221168127551,4,Y,L,34,67,1
1,B,0.520067556382855,4,Y,L,34,67,1
1,B,0.509168516275167,1,W,L,80,90,1
1,B,0.545417724926665,5,Y,L,80,90,1
1,B,0.586408559865959,2,Y,R,34,67,1
1,B,0.611476592483086,2,Y,R,34,67,1
1,B,0.619139632646693,1,Y,R,80,90,1
1,B,0.577849535317,2,Y,R,34,67,1
1,B,0.540140370887457,2,W,L,34,67,1
1,B,0.460552499667756,1,W,L,80,90,1
1,B,0.521095144107676,2,Y,R,34,67,1
1,B,0.502990069955558,1,W,L,80,90,1
1,B,0.452694157742371,2,W,L,34,67,1
1,B,0.535929965388277,4,W,R,34,67,1
1,B,0.420410175762299,2,W,L,34,67,1
1,B,0.502532162443458,4,W,R,34,67,1
1,B,0.455836713304961,5,Y,L,80,90,1
1,B,0.703193003510023,4,W,R,34,67,1
1,B,0.443106043147054,1,W,L,80,90,1
1,B,0.540261157513669,1,Y,R,80,90,1
1,B,0.48626232391689,4,Y,L,34,67,1
1,B,0.476940420643587,4,Y,L,34,67,1
2,B,0.529685416937724,4,W,R,34,67,1
2,B,0.502745492059773,4,Y,L,34,67,1
2,B,0.552880054972945,4,Y,L,34,67,1
2,B,0.487360220276344,2,W,L,34,67,1
2,B,0.469799887806687,5,W,R,80,90,1
2,B,0.62118789742027,1,W,L,80,90,1
2,B,0.477012532063327,5,W,R,80,90,1
2,B,0.911388586505041,2,W,L,34,67,1
2,B,0.544616386779182,5,W,R,80,90,1
2,B,0.50277794219852,1,Y,R,80,90,1
2,B,0.485914686782564,2,Y,R,34,67,1
2,B,0.489477591827153,1,W,L,80,90,1
2,B,0.487207884903,1,Y,R,80,90,1
2,B,1.01430179770762,1,W,L,80,90,1
2,B,0.575424187912745,1,Y,R,80,90,1
2,B,0.575715337768429,2,W,L,34,67,1
2,B,0.519682060752075,2,W,L,34,67,1
2,B,0.572341124271134,5,Y,L,80,90,1
2,B,0.542642036210168,2,W,L,34,67,1
2,B,0.943482975545521,1,W,L,80,90,1
2,B,0.770875579858512,2,Y,R,34,67,1
2,B,0.719447818824847,1,Y,R,80,90,1
2,B,0.573086576068704,4,Y,L,34,67,1
2,B,0.669609213195372,1,Y,R,80,90,1
2,B,0.986416311843413,4,W,R,34,67,1
2,B,1.60777066645676,4,W,R,34,67,1
2,B,0.560994993364261,2,W,L,34,67,1
2,B,0.470214228003897,2,W,L,34,67,1
2,B,0.552945856643191,5,Y,L,80,90,1
2,B,0.629983988260165,2,W,L,34,67,1
2,B,0.453381619941183,2,Y,R,34,67,1
2,B,0.562163498821974,5,W,R,80,90,1
2,B,0.720744622516349,2,W,L,34,67,1
2,B,0.491405670902168,4,W,R,34,67,1
2,B,0.452703472134772,5,Y,L,80,90,1
2,B,0.489042219132671,5,W,R,80,90,1
2,B,0.576538008877606,1,Y,R,80,90,1
2,B,0.559539244085954,4,Y,L,34,67,1
2,B,0.48591949421052,4,W,R,34,67,1
2,B,0.603096043697178,1,W,L,80,90,1
2,B,0.853185356694667,5,W,R,80,90,1
2,B,0.536138487577091,4,Y,L,34,67,1
2,B,0.494698158124038,4,W,R,34,67,1
2,B,0.83652311186006,2,Y,R,34,67,1
2,B,0.705598820737805,5,Y,L,80,90,1
2,B,0.462719748283007,5,Y,L,80,90,1
2,B,0.504807277724694,1,W,L,80,90,1
3,B,0.592779497040567,1,Y,R,80,90,1
3,B,0.493592224258634,5,Y,L,80,90,1
3,B,0.502334525132994,5,Y,R,80,10,0
3,B,0.570531202115205,2,Y,R,34,67,1
3,B,0.551367364720704,1,Y,L,80,10,0
3,B,0.454881170567546,4,Y,R,34,33,0
3,B,0.786259652074591,1,W,R,80,10,0
3,B,0.522293062524454,4,Y,R,34,33,0
3,B,0.786590752035636,5,W,R,80,90,1
3,B,0.491038668389251,4,Y,R,34,33,0
3,B,0.593441696962486,2,Y,L,34,33,0
3,B,0.412752456208864,2,Y,L,34,33,0
3,B,0.508360424240664,5,W,L,80,10,0
3,B,0.873007240933816,5,Y,R,80,10,0
3,B,0.736528858576435,1,Y,R,80,90,1
3,B,1.10380734909722,2,Y,L,34,33,0
3,B,0.796664663642105,2,Y,L,34,33,0
3,B,0.945171709280885,4,W,L,34,33,0
3,B,1.46364570501464,4,Y,L,34,67,1
3,B,0.707584652825744,5,Y,R,80,10,0
3,B,1.03754919929088,2,Y,R,34,67,1
3,B,0.771687347895295,2,W,R,34,33,0
3,B,0.653374395336868,5,W,L,80,10,0
3,B,0.569544211759876,5,W,L,80,10,0
3,B,0.673933840098471,1,Y,L,80,10,0
3,B,0.663820268605605,1,Y,L,80,10,0
3,B,0.530042063515793,2,Y,L,34,33,0
3,B,3.46385211669622,2,W,R,34,33,0
3,B,0.536257248445054,1,Y,L,80,10,0
3,B,0.578663281555237,1,W,R,80,10,0
3,B,0.560068803893955,5,Y,R,80,10,0
3,B,0.772179791485087,5,Y,R,80,10,0
4,B,0.872965778325124,5,Y,L,80,90,1
4,B,0.871532614247371,5,W,R,80,90,1
4,B,1.17346783643279,4,W,R,34,67,1
4,B,0.691919298140419,4,W,R,34,67,1
4,B,0.592668329177286,5,Y,L,80,90,1
4,B,0.527573836493502,4,Y,L,34,67,1
4,B,0.655248324970671,4,W,R,34,67,1
4,B,0.569496439623435,5,W,R,80,90,1
4,B,0.686408677102918,1,Y,R,80,90,1
4,B,0.542060811826559,5,Y,L,80,90,1
4,B,0.719722681248641,4,Y,L,34,67,1
4,B,0.645673767388871,5,W,R,80,90,1
4,B,0.591881140521764,4,Y,L,34,67,1
4,B,0.553366583540992,2,Y,R,34,67,1
4,B,0.569933900189426,5,W,R,80,90,1
4,B,0.542304479764425,2,Y,R,34,67,1
4,B,0.639788180151299,2,W,L,34,67,1
4,B,0.541796713037002,5,W,R,80,90,1
4,B,0.739879518072485,5,Y,L,80,90,1
4,B,1.18596971426814,5,W,R,80,90,1
4,B,0.542522008232481,2,W,L,34,67,1
4,B,0.576292701979582,2,Y,R,34,67,1
4,B,0.553560676621601,4,W,R,34,67,1
4,B,0.469070696752169,5,Y,L,80,90,1
4,B,0.652872036775079,5,W,R,80,90,1
4,B,0.790628849562381,2,Y,R,34,67,1
4,B,0.586013280052612,5,Y,L,80,90,1
4,B,0.541881440975885,5,Y,L,80,90,1
4,B,0.56954751675039,5,W,R,80,90,1
4,B,0.560064897996199,1,Y,R,80,90,1
4,B,0.72649130186619,2,W,L,34,67,1
4,B,0.493313102785578,4,W,R,34,67,1
4,B,0.527030315776756,2,W,L,34,67,1
4,B,1.56041853198258,1,Y,R,80,90,1
4,B,0.496798966439201,2,Y,R,34,67,1
4,B,0.603030075413699,1,Y,R,80,90,1
4,B,0.703021963164247,1,W,L,80,90,1
4,B,0.612184298290231,4,Y,L,34,67,1
4,B,0.552654207854175,1,W,L,80,90,1
4,B,0.546111227953588,5,Y,L,80,90,1
4,B,0.591007421206086,5,Y,L,80,90,1
4,B,0.720588889222199,5,W,R,80,90,1
