subj_idx,RC,rt,MC,LT,JP,AD,Volume,response
1,R,0.578465186559697,5,Y,L,80,90,1
1,R,0.728395343645388,5,W,R,80,90,1
1,R,0.538768751597672,2,W,L,34,67,1
1,R,0.5626349272261,5,W,R,80,90,1
1,R,0.603440375723949,1,Y,R,80,90,1
1,R,0.573622604286356,4,Y,L,34,67,1
1,R,0.50605420435204,4,Y,L,34,67,1
1,R,0.547511059337921,2,Y,R,34,67,1
1,R,0.507245545091791,4,Y,L,34,67,1
1,R,0.702929796829267,1,Y,R,80,90,1
1,R,0.50267638528203,5,Y,L,80,90,1
1,R,0.623666727460659,2,Y,R,34,67,1
1,R,0.605400904938506,1,Y,R,80,90,1
1,R,0.636507968461956,1,W,L,80,90,1
1,R,0.560542794672074,2,Y,R,34,67,1
1,R,0.679207844039411,5,Y,L,80,90,1
1,R,0.6208168240737,2,Y,R,34,67,1
1,R,0.57634060386772,4,Y,L,34,67,1
1,R,0.537568096466202,2,Y,R,34,67,1
1,R,0.690897706046599,4,Y,L,34,67,1
1,R,0.545823051195839,4,W,R,34,67,1
1,R,0.50564316926102,1,W,L,80,90,1
1,R,0.476496935414616,2,Y,R,34,67,1
1,R,0.525347915063321,2,W,L,34,67,1
1,R,0.625606524641626,5,W,R,80,90,1
1,R,0.435922844388188,4,Y,L,34,67,1
1,R,0.46991857118519,4,Y,L,34,67,1
1,R,0.454833763647912,1,W,L,80,90,1
1,R,0.502860569866243,4,W,R,34,67,1
1,R,0.506519323007524,1,W,L,80,90,1
1,R,0.502877095399526,2,Y,R,34,67,1
1,R,0.521294351901815,2,Y,R,34,67,1
1,R,0.836749962367321,4,Y,L,34,67,1
1,R,0.52751245950094,4,Y,L,34,67,1
1,R,0.452952556996024,2,W,L,34,67,1
1,R,0.569437137319255,2,Y,R,34,67,1
1,R,0.426078734253679,4,W,R,34,67,1
1,R,0.469741597742541,1,W,L,80,90,1
1,R,0.487570244786184,1,Y,R,80,90,1
1,R,0.453087465442877,5,Y,L,80,90,1
2,R,0.727787204008905,1,W,L,80,90,1
2,R,0.50895248248068,2,W,L,34,67,1
2,R,0.721165873390959,4,W,R,34,67,1
2,R,0.503994221471601,5,W,R,80,90,1
2,R,0.513681489269118,5,W,R,80,90,1
2,R,0.559330721898448,2,Y,R,34,67,1
2,R,0.4439308175061,2,W,L,34,67,1
2,R,0.510451799074758,5,W,R,80,90,1
2,R,0.525844582464401,5,Y,L,80,90,1
2,R,0.479402725150635,5,Y,L,80,90,1
2,R,0.554709882239081,5,W,R,80,90,1
2,R,0.752940868936548,1,Y,R,80,90,1
2,R,0.529470585000922,5,W,R,80,90,1
2,R,0.60281571055441,2,W,L,34,67,1
2,R,0.552951865928094,2,Y,R,34,67,1
2,R,0.588479058994039,4,W,R,34,67,1
2,R,0.49545412617033,5,Y,L,80,90,1
2,R,0.686311419774711,1,W,L,80,90,1
2,R,1.04753614810238,1,Y,R,80,90,1
2,R,1.44619451514518,1,Y,R,80,90,1
2,R,0.523747041553861,1,W,L,80,90,1
2,R,0.495451121527822,1,W,L,80,90,1
2,R,0.402209854446028,2,W,L,34,67,1
2,R,0.50310514776379,5,Y,L,80,90,1
2,R,0.803311596748244,1,Y,R,80,90,1
2,R,0.445133876352202,1,Y,R,80,90,1
2,R,0.527093011412035,4,W,R,34,67,1
2,R,0.502553194941356,5,Y,L,80,90,1
2,R,0.487296822320104,4,Y,L,34,67,1
2,R,0.540299016009612,4,W,R,34,67,1
2,R,0.461806937899837,5,W,R,80,90,1
2,R,0.469762930704064,4,Y,L,34,67,1
2,R,0.489716160439457,4,Y,L,34,67,1
2,R,0.539409341373357,4,Y,L,34,67,1
2,R,0.603445483616724,4,Y,L,34,67,1
2,R,0.458165311222274,4,W,R,34,67,1
2,R,0.487518865398897,5,W,R,80,90,1
2,R,0.637726350985076,2,Y,R,34,67,1
2,R,0.658086709775262,4,Y,L,34,67,1
2,R,0.554181365627983,5,W,R,80,90,1
2,R,0.752895498835414,5,Y,L,80,90,1
2,R,0.906988287603099,2,Y,R,34,67,1
2,R,0.530361161029759,1,Y,R,80,90,1
2,R,0.443591593370911,2,W,L,34,67,1
2,R,0.496253361068057,5,W,R,80,90,1
2,R,0.584629210593221,5,Y,L,80,90,1
3,R,0.536114833398443,4,W,R,34,67,1
3,R,1.33953760177866,4,W,L,34,33,0
3,R,0.455116125349264,2,W,R,34,33,0
3,R,0.529019319171937,4,W,R,34,67,1
3,R,0.49559084217168,4,W,L,34,33,0
3,R,0.37813688669894,5,Y,L,80,90,1
3,R,0.458964636601252,5,Y,R,80,10,0
3,R,0.502558062674609,2,W,R,34,33,0
3,R,1.20976564612562,2,W,R,34,33,0
3,R,0.462065018177441,4,W,R,34,67,1
3,R,0.554307304029066,4,W,L,34,33,0
3,R,0.50708289517172,2,W,L,34,67,1
3,R,0.55929303247899,1,Y,L,80,10,0
3,R,0.60466274073849,1,W,R,80,10,0
3,R,0.747321455397696,4,W,L,34,33,0
3,R,0.756588047952391,4,W,L,34,33,0
3,R,0.458318961632017,5,W,L,80,10,0
3,R,0.61926839527689,1,W,R,80,10,0
3,R,0.469584472553493,5,Y,R,80,10,0
3,R,0.588955622990625,2,Y,L,34,33,0
3,R,0.736196857254527,5,W,L,80,10,0
3,R,0.519657783252796,2,Y,L,34,33,0
3,R,0.509893338941765,1,Y,L,80,10,0
3,R,0.903320313673589,2,W,R,34,33,0
3,R,1.17386233212153,1,W,R,80,10,0
3,R,0.620287233722934,1,W,R,80,10,0
3,R,0.890101553345517,1,Y,L,80,10,0
3,R,1.1218363729231,1,Y,L,80,10,0
3,R,0.903279151518745,4,W,R,34,67,1
3,R,0.820878226121522,5,Y,R,80,10,0
3,R,0.452656311029614,4,Y,R,34,33,0
3,R,0.791450890844999,4,W,L,34,33,0
3,R,0.70714839407492,5,Y,R,80,10,0
3,R,0.496268365231572,5,W,L,80,10,0
3,R,0.759891836673432,4,W,L,34,33,0
3,R,0.590258991076553,1,Y,L,80,10,0
3,R,1.13843493675449,1,W,R,80,10,0
3,R,0.795554186822073,5,Y,R,80,10,0
3,R,0.78808400685034,2,W,R,34,33,0
3,R,0.437434125529535,2,Y,L,34,33,0
3,R,0.64432563170385,5,Y,R,80,10,0
3,R,0.71268695730555,1,Y,L,80,10,0
3,R,0.75286122044281,1,Y,L,80,10,0
3,R,0.653542649400606,4,W,L,34,33,0
3,R,1.72043956374137,2,Y,L,34,33,0
3,R,0.809445362497399,2,W,R,34,33,0
3,R,0.672528618213619,5,Y,R,80,10,0
3,R,0.536222696271352,1,W,R,80,10,0
3,R,0.711039569750255,2,Y,L,34,33,0
3,R,0.909402698074018,4,Y,R,34,33,0
3,R,0.619574557581927,1,Y,L,80,10,0
3,R,0.70277949704041,5,W,L,80,10,0
3,R,0.897409788781033,5,W,L,80,10,0
3,R,0.959587477090281,5,Y,R,80,10,0
4,R,0.573585013370575,4,W,R,34,67,1
4,R,0.619538803593969,5,W,R,80,90,1
4,R,0.585738064477482,1,W,L,80,90,1
4,R,0.639981071417424,2,W,L,34,67,1
